,sentence,entity,score
8,中高端白酒中可关注估值便宜个股，包括古井贡酒、今世缘等,"['古井贡酒', '今世缘']","[1, 1]"
0,　　建议重点关注：1)海军—航母链：、、；2)陆军—机械化链：、；3)空军—大飞机链：中航飞机、中航机电　　7、风险提示：军改政策推进不及预期，金融监管下市场风险偏好下行风险,"['中航飞机', '中航机电']","[1, 1]"
2,另外，韶钢松山、宝钢股份、安阳钢铁以及柳钢股份等4家公司预计净利润同比增长也超过了10倍,"['韶钢松山', '宝钢股份', '安阳钢铁', '柳钢股份']","[1, 1, 1, 1]"
3,年前随着年报预增陆续披露，四季度钢铁企业业绩靓丽，盈利的持续性有望增强板块的估值水平，推荐标的如宝钢股份、方大特钢、太钢不锈、新钢股份、中国东方集团、三钢闽光、*ST 华菱、韶钢松山、南钢股份、马钢股份、八一钢铁等,"['宝钢股份', '方大特钢', '太钢不锈', '新钢股份', '东方集团', '三钢闽光', '韶钢松山', '南钢股份', '马钢股份', '八一钢铁']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,个股方面，建议关注盈利强劲且弹性较好的标的：韶钢松山、三钢闽光、方大特钢，以及具备内生增长动能的低估值龙头宝钢股份,"['韶钢松山', '三钢闽光', '方大特钢', '宝钢股份']","[1, 1, 1, 1]"
0,　　在接受《每日经济新闻》记者采访时，哈高科和北大荒的相关负责人均不认为放射性物质会对公司构成影响,"['哈高科', '北大荒']","[0, 0]"
2,　　此消息刺激保险板块大幅上涨，、、均上涨2%以上，爱建股份、安信信托、陕国投则冲击涨停板,"['安信信托', '陕国投']","[1, 1]"
6,　　从二级市场来看，在上述11只个股中，10月份以来截至上周五股价表现跑赢大盘(上证指数同期上涨11.09%)的个股有9只，分别为：九华旅游(44.89%)、新华百货(30.68%)、上海新阳(26.30%)、泰禾集团(24.34%)、泰和新材(15.67%)、中国天楹(14.68%)、三力士(12.72%)、新筑股份(11.63%)和新日恒力(11.28%),"['九华旅游', '新华百货', '上海新阳', '泰禾集团', '泰和新材', '中国天楹', '三力士', '新筑股份', '新日恒力']","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,在测量测绘、精准农业等高精度行业中市场占有率高、技术积累丰富的优质标的：合众思壮、中海达、华测导航；2,"['合众思壮', '中海达']","[1, 1]"
5,　　从持股情况来看，QFII持有启明星辰、、省广股份的股份占流通股比例超过4%，但启明星辰、省广股份中报出现净利润下降，从此角度来看，QFII或有踩雷嫌疑,"['启明星辰', '省广股份']","[-1, -1]"
2,　　地理信息公司业绩高增长　　在地理信息行业的公司中，中海达、合众思壮的净利润同比增幅超过100%；四维图新、超图软件、的增幅在50%至70%之间,"['中海达', '合众思壮', '四维图新', '超图软件']","[1, 1, 1, 1]"
2,东兴证券交易单元(392033)席位以2.21亿元接盘2200万股，国泰君安证券股份有限公司总部席位买入320万股海通证券等,"['东兴证券', '国泰君安', '国泰君安证券股份有限公司', '海通证券']","[0, 0, 0, 1]"
8,　　附表2:QFII增持15只个股一览　　、等热门股遭QFII减持　　据统计，海康威视、贵州茅台、、、遭到QFII减持，其中热门白马股海康威视被减持,"['海康威视', '贵州茅台']","[-1, -1]"
2,　　龙虎榜数据显示，万里石的买二营业部为华泰证券深圳侨香路智慧广场，新浪财经大数据中心统计显示，此营业部在3个月内登陆龙虎榜7次，买入后3天的上涨概率高达85.71%,"['万里石', '华泰证券']","[1, 1]"
0,　　　　截至上周日，养老金二季度现身前十大流通股东的三大“养老金概念股”（正海磁材、九阳股份、首商股份）已披露三季报，季报显示养老金均已退出上述股票的前十大流通股东,"['正海磁材', '九阳股份', '首商股份']","[-1, -1, -1]"
1,　　根据网提供的数据，基本养老保险基金八零二组合二季度末分别持有正海磁材392.92万股和九阳股份286.70万股，与最新三季报前十大流通股东持股数据对比可知，该养老金组合三季度至少减持199.16万股正海磁材和96.40万股九阳股份,"['正海磁材', '九阳股份']","[-1, -1]"
11,　　那么，汉商集团后期的走势，是否也会与上海家化类似,"['汉商集团', '上海家化']","[0, 0]"
3,　　而在三季度期间被证金公司和汇金公司新进、又被私募基金清仓的3只个股分别是中科三环、正海磁材和常铝股份，这3只个股在三季度期间分别被证金公司和汇金公司新进512.11万股、213.81万股和178.99万股，在二季度末私募基金曾分别持有这3只个股1398.32万股、1985.74万股和346.35万股,"['中科三环', '正海磁材', '常铝股份']","[1, 1, 1]"
5,　　《证券日报》基金新闻部记者据资讯数据统计，王亚伟的千合资本和汇金公司在三季度末同时持有了2只个股，分别是三聚环保和广电网络；证金、汇金公司与淡水泉投资共同持有了8只个股；除此之外，在今年三季度末，证金、汇金公司与重阳投资也同时持有了5只个股，但这5只个股年内表现欠佳,"['三聚环保', '广电网络']","[0, 0]"
2,新进华谊兄弟、、、、、苏交科；增持蓝色光标、和，其中大成策略回报、大成新锐产业和大成内需重仓创业板领先同类基金,"['华谊兄弟', '苏交科', '蓝色光标']","[1, 1, 1]"
0,　　公开资料显示，江苏舜天股份有限公司是一家老牌上市企业，主营服装业务，2000年9月实现股票在上交所挂牌上市,"['江苏舜天', '江苏舜天股份有限公司']","[0, 0]"
7,　　汇金公司与淡水泉投资共同持有的8只个股分别为红太阳、歌尔股份、光迅科技、人福医药、复星医药、浙江医药、华海药业和天士力，行业分布集中在科技行业和制药行业,"['红太阳', '歌尔股份', '光迅科技', '人福医药', '复星医药', '浙江医药', '华海药业', '天士力']","[0, 0, 0, 0, 0, 0, 0, 0]"
9,　　同样，小天鹅A、贵州茅台和京东方A背后的机构投资者背后也均有众多公募基金持有的身影，在2017年三季度末，这3只个股分别被公募基金持有0.2亿股、0.46亿股和9.24亿股，到了2017年四季度末，公募基金增持了小天鹅A872.36万股，而对于贵州茅台和京东方A，公募基金在去年四季度期间则略有减持,"['小天鹅', '贵州茅台', '京东方']","[1, -1, -1]"
1,国泰基金旗下的国泰金鹰增长股票和国泰成长优选股票三季度均重仓持有凤凰传媒、星辉车模、伊利股份，持有占净值比例合计达到29.26%,"['凤凰传媒', '伊利股份']","[1, 1]"
2,　　在基金的资产配置方面，该基金除了重仓契合基金主题的文体产业中的分众传媒、海康威视、光线传媒等股票外，还紧跟市场风向，对其他行业的白马股也进行了大量配置，2017年该基金买入金额前五的股票分别为中国国旅、五粮液、海康威视、分众传媒、格力电器,"['分众传媒', '海康威视', '光线传媒', '中国国旅', '五粮液', '格力电器']","[0, 0, 0, 0, 0, 0]"
1,截至2017年底，该基金前十大重仓股主要包括港股的腾讯控股、招商银行、新华保险、万科企业、比亚迪电子等，以及A股市场的保利地产、金圆股份,"['招商银行', '新华保险', '万科', '比亚迪', '保利地产', '金圆股份']","[0, 0, 0, 0, 0, 0]"
0,次日，上述4只个股全部收获涨停，用友网络、普路通更是成为工业互联网、小米产业链板块近期的龙头品种,"['用友网络', '普路通']","[1, 1]"
14,在卫星石化和江南高纤的持有情况上，上投摩根行业轮动股票持股数最多，分别为285万股和1859万股,"['卫星石化', '江南高纤']","[0, 0]"
0,　　从持股的机构数来看，在基金增持的MSCI概念股中，、伊利股份、、、、、、、和保利地产居机构持股数最多的前十位,"['伊利股份', '保利地产']","[0, 0]"
0,具体来看，共有159家公司三季报报告期营业收入同比增幅超过100%，佳沃股份(10350.35%)、绵石投资(3836.63%)、京蓝科技(2976.00%)、仁智股份(2306.35%)、宁波东力(1422.83%)、中际旭创(1278.85%)、三峡新材(1003.30%)等7家公司三季报营业收入同比增长均在10倍以上，营业收入数据出现明显改善,"['佳沃股份', '绵石投资', '京蓝科技', '仁智股份', '宁波东力', '中际旭创', '三峡新材']","[1, 1, 1, 1, 1, 1, 1]"
28,　　有研新材收报17.44元，较国华人寿举牌均价上涨74%，浮盈高达4.25亿元；国农科技收报37.92元，较举牌均价上涨79.8%，浮盈达7071万元；天宸股份收报20.87元，两次举牌浮盈约2.01亿元；新世界收报21.88元，较举牌均价上涨27%，浮盈1.26亿元,"['有研新材', '国农科技', '天宸股份', '新世界']","[1, 1, 1, 1]"
0,(2652.55%)、(376.00%)、(200.67%)、汉鼎宇佑(169.92%)、(139.61%)、(103.20%)、(101.00%)、佳都科技(100.00%)等公司报告期内净利润均有望实现同比翻番,"['汉鼎宇佑', '佳都科技']","[1, 1]"
3,值得注意的是，这2只基金重仓股在年内表现均有比较大的起伏，截至3月18日，信维通信在年内下跌了20.77%，网宿科技在今年以来累计上涨了25.38%,"['信维通信', '网宿科技']","[-1, 1]"
6,　　从三季报报告期实现归属母公司净利润额上看，在上述2949家公司中，共有19家公司前三季度实现归属母公司净利润超过100亿元，其中，除建设银行、中国平安、招商银行、交通银行、兴业银行等金融公司盈利额居前外，中国神华、中国建筑、上汽集团、贵州茅台、宝钢股份、大秦铁路、万科A、中国中铁等8家公司报告期内盈利额亦均超过100亿元，显示出极高的盈利能力,"['建设银行', '中国平安', '招商银行', '交通银行', '兴业银行', '中国神华', '中国建筑', '上汽集团', '贵州茅台', '宝钢股份', '大秦铁路', '万科', '中国中铁']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,其中，大华股份、、、高新兴、、和而泰、、方大化工、等个股均受到5家及以上机构集体看好,"['大华股份', '高新兴', '和而泰', '方大化工']","[1, 1, 1, 1]"
9,而对于采掘行业，中银国际证券则表示，板块可能会有补涨的交易性机会，建议重点关注动力煤龙头公司：陕西煤业、中国神华、以及受益于国企改革进程加快和供应更加收紧的山西国企改革概念股，如潞安环能，山煤国际、阳泉煤业等,"['陕西煤业', '中国神华', '潞安环能', '山煤国际', '阳泉煤业']","[1, 1, 1, 1, 1]"
1,另外，虽然昨天万科A出现了超过3%的调整，但此前的连续两个涨停也带动了其他一些优质地产股的上涨，比如华侨城、招商蛇口、金地集团等的表现都还不错,"['万科', '华侨城', '招商蛇口', '金地集团']","[1, 1, 1, 1]"
2,其中，苏宁环球、世茂股份、合肥城建、荣安地产、泰禾集团等强势涨停；泰禾集团因对异常波动原因进行自查，午后临停；万科A股价盘中再创历史新高,"['苏宁环球', '世茂股份', '合肥城建', '荣安地产', '泰禾集团', '万科']","[1, 1, 1, 1, -1, 1]"
3,　　这3家私募机构的调研路径虽有不相同，但细看会发现，有3家公司分别受到了其中2家私募同时调研——金科文化获景林资产和拾贝投资调研；金螳螂获景林资产和淡水泉投资调研：大北农获淡水泉投资和拾贝投资调研,"['金科文化', '金螳螂', '大北农']","[1, 1, 1]"
1,至此，于14年前“分家”的中国两大高铁建设企业“破镜重圆”的计划终于水落石出，合并后的新名称拟为“中国中车股份有限公司”　　港口航运板块大涨，涨停，、、、、等涨幅居前,"['中国中车', '中国中车股份有限公司']","[1, 1]"
0,其中，金风科技(30843.87万元)、(19588.19万元)、(13358.46万元)、(9509.77万元)、久其软件(8328.19万元)、(7669.36万元)、登海种业(6738.39万元)、国际实业(6414.68万元)、(5993.81万元)、(5116.06万元)等个股期间资金净流入超5000万元,"['金风科技', '久其软件', '登海种业', '国际实业']","[1, 1, 1, 1]"
15,　　上述25只每股收益居前的个股，其市场表现整体也十分强劲，其中丽珠集团、长春高新、洋河股份、招商银行、上汽集团、万华化学和贵州茅台等7只个股月内股价均创出历史新高,"['丽珠集团', '长春高新', '洋河股份', '招商银行', '上汽集团', '万华化学', '贵州茅台']","[1, 1, 1, 1, 1, 1, 1]"
16,仅从月内市场表现来看，有14只个股月内实现不同程度上涨，其中丽珠集团(22.27%)、贵州茅台(20.18%)、中国平安(18.28%)、欧派家居(16.75%)、长春高新(14.51%)、凌霄泵业(12.70%)、洋河股份(11.32%)、上汽集团(8.78%)、招商银行(8.77%)和寒锐钴业(5.13%)月内涨幅居前，均在5%以上,"['丽珠集团', '贵州茅台', '中国平安', '欧派家居', '长春高新', '洋河股份', '上汽集团', '招商银行']","[1, 1, 1, 1, 1, 1, 1, 1]"
13,　　在深市，深股通海外资金持股比例最高的四家里有三家是家电股——美的集团、老板电器、格力电器,"['美的集团', '老板电器', '格力电器']","[0, 0, 0]"
14,在今年9月底，沪股通海外资金持股飞科电器和青岛海尔的比例分别为10.13%和7.54%，而目前的持股比例则是快速飙升至了19.76%和9.02%,"['飞科电器', '青岛海尔']","[0, 0]"
2,　　受益于供给侧改革等利好因素影响，、南钢股份、等钢铁股业绩均已翻番，尤以八一钢铁预计增幅最大，按照中值计算，预计增长3036%,"['南钢股份', '八一钢铁']","[1, 1]"
2,海康威视、晶盛机电、亿帆医药等3家公司2017年一季报、中报、三季报、年报均获基金持有，截至2017年四季度末，基金持有海康威视、晶盛机电、亿帆医药等3只个股股份数量分别为：19586.53万股、4275.56万股、2263.26万股，值得注意的是，2017年四季度基金对上述3只个股均进行了增持操作,"['海康威视', '晶盛机电', '亿帆医药']","[1, 1, 1]"
1,　　接下来被冠以“独角兽”这些公司也许走的也是超常规审核的特别通道，它们是不是还会像当年中国石油、海普瑞上市那样成为新一轮割“韭菜”的高潮，成为一波波高位接棒的套牢者，这还需要观察,"['中国石油', '海普瑞']","[0, 0]"
20, 　　海通证券研报同时表示，润禾材料存在新建产能投放不及预期，市场需求下滑等风险,"['海通证券', '润禾材料']","[0, -1]"
31, 　　同行业公司德美化工2014年至2017年纺织印染助剂产品毛利率分别为43.00%、43.97%、44.13%、36.99%；传化智联同期纺织印染助剂产品毛利率分别为30.53%、34.99%、40.05%、38.43%,"['德美化工', '传化智联']","[0, 0]"
34,” 　　此外，根据招股书披露的关联交易数据，杨晓勇还在湖北兴发化工集团股份有限公司和有限公司担任独立董事，润禾材料则每年向上述两家公司采购上千万元原材料,"['湖北兴发化工集团股份有限公司', '润禾材料']","[0, 0]"
6,　　目前，安硕信息427.00元的股价对应的公司动态市盈率已经突破2500倍，而于昨日站上400元高价的全通教育，目前其对应的公司动态市盈率也超1700倍,"['安硕信息', '全通教育']","[-1, -1]"
6,另外外七大重仓股分别为美的集团、格力电器、青岛海尔、国电南瑞、中国北车、、,"['美的集团', '格力电器', '青岛海尔', '国电南瑞', '中国北车']","[0, 0, 0, 0, 0]"
6,　　附表 基金抱团持仓的十大次新股　　代码名称持有的持股总量持股占　　基金数（只）（万股）流通股比重（%）　　601611.SH中国核建7111，585.213.02　　002802.SZ洪汇新材696107.964.00　　603958.SH哈森股份678143.862.65　　603131.SH67481.863.27　　002799.SZ67069.622.78　　603016.SH66099.132.68　　300518.SZ65776.813.29　　002805.SZ65462.172.57　　601127.SH652451.683.17　　300515.SZ65184.703.39　　数据来源：Wind资讯',"['中国核建', '哈森股份']","[0, 0]"
0,　　从二市场来看，在15只实现大单资金净流入的银行股中，本周以来股价表现跑赢大盘(上证指数同期上涨4.15%)的个股有7只，分别为(9.38%)、(8.98%)、浦发银行(8.05%)、平安银行(6.25%)、中信银行(6.25%)、兴业银行(5.44%)和(4.64%),"['浦发银行', '平安银行', '中信银行', '兴业银行']","[1, 1, 1, 1]"
2,还有，军工混改也再度蠢蠢欲动，湖南天雁超跌涨停，铁龙物流、洛阳玻璃等也反复表现,"['湖南天雁', '铁龙物流', '洛阳玻璃']","[1, 1, 1]"
3,而反观跌幅榜，几乎清一色是近期高位强势股，其中5G、新零售与芯片这三大题材更是成为杀跌重灾区，如新华都、武汉凡谷以及士兰微等纷纷巨幅下挫,"['新华都', '武汉凡谷', '士兰微']","[-1, -1, -1]"
17,神雾环保在投资者互动平台对此回应，“本着年初制定的开源节流计划，停止租赁北京金融街泰康大厦的办公室,"['神雾环保', '金融街']","[0, 0]"
7,　　此外， (002850)、 (300532)：、 (300648)、 (300073)、 (300490)、江苏国泰 (002091)、(002340)、杉杉股份(600884)、(603305)等多家上市公司均表态，与宁德时代有合作关系,"['江苏国泰', '杉杉股份']","[0, 0]"
7,今天重点推荐两个适合中长期投资的标的：浙江鼎力和晶盛机电,"['浙江鼎力', '晶盛机电']","[1, 1]"
1,不少业内人士指出，蓝思科技如此大的弃购规模，对国信证券而言压力还是比较大的,"['蓝思科技', '国信证券']","[-1, -1]"
1,另外，由于贵州茅台下跌2.13%，带领整个白酒股板块大跌，洋河股份、山西汾酒、五粮液等个股都有不小跌幅,"['贵州茅台', '洋河股份', '山西汾酒', '五粮液']","[-1, -1, -1, -1]"
2,而从月涨幅来看，6月以来涨幅超过10%的也有6只，包括丹邦科技、万润股份、南大光电、隆华节能、新纶科技和,"['丹邦科技', '万润股份', '南大光电', '隆华节能', '新纶科技']","[1, 1, 1, 1, 1]"
4,而上周五则有濮阳惠成、新纶科技创年内新高，其中濮阳惠成也创出了历史新高,"['濮阳惠成', '新纶科技']","[1, 1]"
6,　　事实上，昨日老牌龙头万润股份未能封住涨停板，倒是永太科技接过了领涨大旗,"['万润股份', '永太科技']","[1, 1]"
0,常熟银行、、、无锡银行、江苏银行也成功实现了净利润增速两位数增长，其归属于上市公司股东的净利润分别为45.57亿元、7.31亿元、10.01亿元、118.75亿元和7.63亿元，同比增长13.33%、12.46%、12.13%和11.91%,"['常熟银行', '无锡银行', '江苏银行']","[1, 1, 1]"
11,　　从盘口向来看，主力资金超千万且龙虎榜净买入个股共有14只，其中敦煌种业、航天动力、(002297)等个股资金净流入金额最大,"['敦煌种业', '航天动力']","[1, 1]"
0,降低仓位就成为险资前期的主要操作动作，如恒大人寿在2017年第三季度，减持了金洲管道、中元股份、积成电子等多只股票,"['金洲管道', '中元股份', '积成电子']","[-1, -1, -1]"
8,　　喜欢抱团取暖　　目前，险资重仓持的48只个股中，华东医药、重庆百货(600729)、(600479)、(600702)航天电子(600879)、(600825)、华(300422)、(300095)和(002751)9家公司被至少2家险资或不同的保险产品重仓持有,"['华东医药', '重庆百货', '航天电子']","[1, 1, 1]"
9,　　航天电子是目前为止除华东医药外，获3家不同保险公司持股的个股,"['航天电子', '华东医药']","[1, 1]"
10,航天电子年报显示，载至四季度末，分别被中国人寿股份、中国人保险股、新华人寿所属相关产品所持有，持股数量分别为946.05万股、918.81万股、799.99万股，分列前十大流通股东的第五、第六和第七位,"['航天电子', '中国人寿']","[0, 0]"
2,　　二级市场表现来看，81只阳光私募重仓股中，7月1日至8月28日以来，涨幅超过50%的包括(93.69%)、佳讯飞鸿(63.32%)、(60.70%)、华平股份(56.91%)、(55.54%)、理邦仪器(55.15%)、(53.92%)等7家公司,"['佳讯飞鸿', '华平股份', '理邦仪器']","[1, 1, 1]"
1,　　从细分行业看，81只重仓股中，属于软件服务、通信设备、医疗保健3个行业的数量较多，分别有8家(、、、、、、、)、8家(、、、、、、、)和7家(泰格医药、凯利泰、戴维医疗、、、、乐普医疗)公司,"['泰格医药', '凯利泰', '戴维医疗', '乐普医疗']","[0, 0, 0, 0]"
6,在其他15家获QFII增持的公司中，万华化学、启明星辰、烽火通信等3家公司均获QFII增持超1000万股，恩华药业、水井坊、老板电器、伟星新材、山东海化、汤臣倍健、山大华特、安琪酵母等8家公司QFII增持股数量也均在100万股以上，此外，对于西藏珠峰、云海金属、南京化纤、华策影视等4家公司QFII也进行了不同程度的增持操作,"['万华化学', '启明星辰', '烽火通信', '恩华药业', '水井坊', '老板电器', '伟星新材', '山东海化', '汤臣倍健', '山大华特', '安琪酵母', '西藏珠峰', '云海金属', '南京化纤', '华策影视']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,推荐渡过市值解禁压力后的顺丰控股、经营与管理存在较大改善空间的申通快递,"['顺丰控股', '申通快递']","[1, 1]"
2,其中，兆驰股份(14.95%)、九阳股份(12.61%)、TCL集团(7.59%)、(5.13%)等个股涨幅超过5%,"['兆驰股份', '九阳股份', 'TCL集团']","[1, 1, 1]"
